tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
11,2,Which CSS property is used to create space between the content and the border of an element?,padding,margin,spacing,content-padding,padding
11,2,Which CSS property controls the space between words in a text?,word-spacing,letter-spacing,line-height,text-spacing,word-spacing
11,2,Which CSS property is used to make the text italic?,font-style:italic;,text-decoration:italic;,font-weight:italic;,font-variant:italic;,font-style:italic;
11,2,How do you target an element by its ID in CSS?,#elementid,.elementid,elementid,element-id,#elementid
11,2,Which CSS property is used to define the thickness of text?,font-weight,font-style,text-thickness,text-weight,font-weight
11,2,How do you specify the amount of space between the border and content?,padding,border-margin,content-margin,margin,padding
11,2,Which CSS property is used to create a space between list items?,list-style-position,list-gap,list-spacing,list-item-space,list-style-position
11,2,How do you create a comment in CSS?,/* comment */,// comment ,<!-- comment -->,<!-- comment */,/* comment */
11,2,Which property is used to add space between the border and the edge of an element?,margin,padding,border-spacing,border-margin,margin
11,2,Which CSS property specifies the stack order of elements?,z-index,stack-order,layer-order,element-index,z-index
11,2,Which CSS property is used to define a transition effect?,transition,animation,transformation,transform,transition
11,2,What is the correct syntax for a CSS rule?,selector { property: value; },selector { value: property; },property { selector: value; },selector { value = property; },selector { property: value; }
11,2,Which CSS property is used to define how an element behaves when it overflows its container?,overflow,flow,display-overflow,clip,overflow
11,2,Which CSS property is used to change the font size of text?,font-size,text-size,font-weight,text-height,font-size
11,2,What is the default value of the display property?,block,inline,inline-block,none,block
11,2,Which property is used to add space around an element's content?,padding,margin,border,spacing,padding
11,2,Which CSS property is used to align flex container elements horizontally?,justify-content,align-content,align-items,align-self,justify-content
11,2,Which CSS property is used to add a border to an element?,border,border-width,border-style,border-color,border
11,2,What does the CSS rule overflow:auto; do?,It adds scrollbars when needed.,It hides the overflow content.,It displays all content.,It clips the overflow content.,It adds scrollbars when needed.
11,2,Which CSS property is used to control the stacking order of positioned elements?,z-index,order,stack-index,stack-order,z-index
11,2,How do you add an external CSS file to a webpage?,<link rel=stylesheet href=style.css>,<link src=style.css>,<style src=style.css>,<link stylesheet=style.css>,<link rel=stylesheet href=style.css>
11,2,Which CSS property is used to control the visibility of an element?,visibility,display,opacity,show,visibility
11,2,What is the default value of the flex-wrap property in a flex container?,nowrap,wrap,wrap-reverse,no-wrap,nowrap
11,2,Which CSS property defines the behavior of the background image?,background-repeat,background-clip,background-size,background-origin,background-repeat
11,2,How do you target an element by its class in CSS?,.classname,#classname,@classname,class=classname,.classname
11,2,Which CSS property specifies the amount of space inside the border of an element?,padding,margin,border-spacing,border-padding,padding
11,2,How do you specify a font in CSS?,font-family:Arial;,text-font:Arial;,font:Arial;,text-family:Arial;,font-family:Arial;
11,2,Which CSS property defines the width of an element's border?,border-width,border-thickness,border-size,border-height,border-width
11,2,What is the correct way to apply a linear gradient as a background in CSS?,background: linear-gradient(),background-gradient:,background-color: gradient(),gradient: background(),background: linear-gradient()
11,2,Which CSS property is used to specify the alignment of flex items in a container?,align-items,justify-content,align-content,align-self,align-items
11,2,Which CSS property is used to specify the width of an element?,width,max-width,min-width,element-width,width
11,2,Which property would you use to change the color of text in CSS?,color,font-color,background-color,text-color,color
11,2,Which CSS property is used to create a flexible layout?,flexbox,grid,table,block,flexbox
11,2,Which property is used to set the maximum width of an element?,max-width,min-width,width-limit,width,max-width
11,2,How do you apply multiple background images to an element?,background-image:url('image1'), url('image2'),background:url('image1'), url('image2'),background:url['image1'], url['image2'],background:url['image1'] 'image2',background-image:url('image1'), url('image2')
11,2,Which CSS property can be used to hide overflow content and add scrollbars if needed?,overflow:auto,overflow:hidden,overflow:scroll,overflow-x:visible,overflow:auto
11,2,Which CSS property is used to create a gap between grid items?,grid-gap,grid-margin,grid-padding,grid-space,grid-gap
11,2,How can you apply a rule to multiple selectors?,Separate each selector with a comma,Separate each selector with a semicolon,Use the @import rule,Use the @include directive,Separate each selector with a comma
11,2,What is the default value of the flex-grow property?,0,1,auto,none,0
11,2,Which CSS property is used to control how a block element is aligned horizontally?,margin:auto,align:auto,justify-content:center,position:absolute,margin:auto
11,2,Which CSS property is used to change the cursor to a hand when hovering over an element?,cursor:pointer,hover:pointer,cursor:hand,hover:hand,cursor:pointer
11,2,Which CSS property defines the space outside the element's border?,margin,padding,border-width,box-sizing,margin
11,2,Which CSS pseudo-class is used to style an element when it gets focus?,:focus,:hover,:active,:checked,:focus
11,2,Which CSS property controls the order in which flex items appear?,order,align-items,justify-content,z-index,order
11,2,How do you remove the underline from a hyperlink in CSS?,text-decoration:none;text-style:none;,border:none;,list-style:none;,text-decoration:none;
11,2,Which property would you use to make a font italic in CSS?,font-style:italic;,font-weight:italic;,text-style:italic;,font:italic;,font-style:italic;
11,2,Which property is used to set an element's width to fit the container?,width:100%,max-width:fit-content;,display:block;,flex-basis:100%,width:100%
11,2,How can you force an element to be on a new line?,display:block;,position:relative;,float:left;,clear:left;,display:block;
11,2,Which CSS property changes the style of a list marker?,list-style-type,list-style-image,list-style-position,marker-type,list-style-type
11,2,Which property controls the appearance of a border’s corners?,border-radius,border-width,border-style,corner-style,border-radius
11,2,How do you vertically center content within a flex container?,align-items:center;,vertical-align:center;,justify-content:center;,align-content:center;,align-items:center;
11,2,Which CSS property allows you to control the space between columns in a multi-column layout?,column-gap,column-space,column-width,column-margin,column-gap
11,2,Which property would you use to adjust the height of an element?,height,max-height,min-height,line-height,height
11,2,What does the CSS rule overflow:hidden do?,It hides any content that overflows the container.,It adds scrollbars.,It clears the overflow.,It displays the overflowed content.,It hides any content that overflows the container.
11,2,How do you define a CSS grid container?,display:grid;,grid-template:,grid-layout:,grid-system:,display:grid;
11,2,Which property defines the amount of space inside the border of an element?,padding,margin,border-gap,spacing,padding
11,2,Which CSS property changes the background of an element?,background-color,background-image,background-position,color,background-color
11,2,Which value of the position property positions an element relative to its first positioned ancestor?,absolute,relative,fixed,static,absolute
11,2,Which CSS property controls the space between words?,word-spacing,letter-spacing,spacing,line-spacing,word-spacing
11,2,How do you add a background image to an element in CSS?,background-image:url(image.png);,background:url(image.png);,background-color:url(image.png);,background:img(image.png);,background-image:url(image.png);
11,2,Which property specifies the horizontal alignment of block elements?,text-align,justify-content,vertical-align,align-items,text-align
11,2,How do you add space between the border and the content of a button?,padding,margin,spacing,content-spacing,padding
11,2,Which CSS property is used to define the space between the lines of text?,line-height,letter-spacing,word-spacing,text-indent,line-height
11,2,Which CSS property is used to transform elements along the x-axis or y-axis?,transform,rotate,translate,scale,transform
11,2,Which CSS property controls how an image or background repeats?,background-repeat,background-position,background-size,background-clip,background-repeat
11,2,Which CSS property is used to control the visibility of an element?,visibility,display,opacity,visibility-style,visibility
11,2,Which CSS property is used to make a responsive layout?,media queries,grid,container,display:block,media queries
11,2,What is the purpose of the :nth-child(n) selector in CSS?,It selects elements based on their position in a parent element.,It selects the last child.,It selects the nth last child.,It selects the nth element of a specific class.,It selects elements based on their position in a parent element.
11,2,Which property would you use to add space between the letters of text?,letter-spacing,word-spacing,line-spacing,space-between,letter-spacing
11,2,Which property controls the space inside the border of a table cell?,padding,margin,border-spacing,cell-padding,padding
11,2,Which property would you use to prevent text from wrapping?,white-space:nowrap;,text-overflow:clip;,overflow-x:visible;,display:nowrap;,white-space:nowrap;
11,2,Which CSS property sets the background image position?,background-position,background-image,background-align,background-clip,background-position
11,2,Which value of the display property creates a flexible container for layout purposes?,flex,inline-block,block,table,flex
11,2,Which property controls the shadow around an element in CSS?,box-shadow,text-shadow,shadow,drop-shadow,box-shadow
11,2,How do you apply a border to only the top side of an element?,border-top:,border:,border-width:,border-top-style:,border-top:
11,2,Which CSS property is used to change the color of a border?,border-color,border-style,border-width,border-shade,border-color
11,2,Which property is used to specify whether an element should float to the left or right of its container?,float,position,align,justify,float
11,2,Which CSS pseudo-class is used to style an element when a user mouses over it?,:hover,:focus,:active,:selected,:hover
11,2,Which CSS property allows you to control the space around images?,margin,padding,border,outline,margin
11,2,Which CSS property would you use to control the order of grid items?,grid-template-order,grid-row-order,grid-area,grid-row,grid-area
11,2,What is the default behavior of the float property?,It allows elements to float to the left or right.,It centers an element.,It makes the element hidden.,It expands the width of the element.,It allows elements to float to the left or right.
11,2,How do you ensure that an element's padding and border are included in the element's total width and height?,box-sizing:border-box;,display:block;,width:100%;,height:auto;,box-sizing:border-box;
11,2,Which CSS property controls the background color of a table?,background-color,table-background-color,table-color,table-background,background-color
11,2,Which value of the position property is used to place an element relative to the viewport?,fixed,absolute,static,relative,fixed
11,2,What is the purpose of the z-index property?,It controls the stack order of overlapping elements.,It sets the zoom level.,It adjusts the height of elements.,It sets the visibility of elements.,It controls the stack order of overlapping elements.
11,2,Which CSS property would you use to control the size of an element's shadow?,box-shadow,shadow-size,shadow,outline,box-shadow
11,2,Which CSS property can hide an element without removing it from the layout?,visibility:hidden;,display:none;,opacity:0;,z-index:-1;,visibility:hidden;
11,2,Which property controls the space between columns in a multi-column layout?,column-gap,column-spacing,column-margin,column-padding,column-gap
11,2,Which CSS property is used to create a grid-based layout?,display:grid;,grid-template:,grid-columns:,grid-layout:,display:grid;
11,2,Which CSS property is used to control the space between inline elements?,word-spacing,letter-spacing,line-spacing,element-spacing,word-spacing
11,2,What does the CSS property font-variant do?,It controls the font's small-caps effect.,It changes the font size.,It controls the font style.,It adds emphasis to text.,It controls the font's small-caps effect.
11,2,Which CSS property would you use to make an element completely invisible?,display:none;,visibility:hidden;,opacity:0;,z-index:0;,display:none;
11,2,Which property would you use to limit how wide an element can be?,max-width,width,margin-left,min-width,max-width
11,2,Which property is used to set the layout of a table's rows and columns?,table-layout:,display:table;,row-column;,grid;,table-layout:
11,2,Which CSS property sets the alignment of flex items along the main axis?,justify-content,align-items,align-content,align-self,justify-content
11,2,What is the default value of the flex-direction property?,row,column,row-reverse,column-reverse,row
11,2,Which CSS property is used to control the direction of the flex container's main axis?,flex-direction,align-items,justify-content,align-self,flex-direction
11,2,Which CSS property is used to change the style of a list marker?,list-style-type:,list-type:,marker-type:,marker-style:,list-style-type:
11,2,Which property allows you to control the number of columns in a multi-column layout?,column-count,column-gap,column-width,column-span,column-count
11,2,Which CSS property is used to create space between grid rows?,grid-row-gap,grid-gap,row-gap,column-gap,grid-row-gap
11,2,Which CSS property defines the transparency level of an element?,opacity,visibility,display,transparency,opacity
11,2,What is the initial value of the position property in CSS?,static,relative,absolute,fixed,static
11,2,Which CSS property controls the font size?,font-size,text-size,font-style,text-style,font-size
11,2,How do you make an element take up the full width of the viewport?,width:100vw;,width:full;,width:auto;,min-width:100vw;,width:100vw;
11,2,Which CSS property is used to control the space between the content and the border of an element?,padding,margin,border-spacing,content-spacing,padding
11,2,What does the background-attachment property control?,Whether a background image scrolls with the page or stays fixed.,The position of the background image.,The size of the background image.,The visibility of the background image.,Whether a background image scrolls with the page or stays fixed.
11,2,Which CSS property is used to create rounded borders?,border-radius,round-border,border-style,border-corner,border-radius
11,2,Which CSS property is used to apply shadows to text?,text-shadow,font-shadow,text-outline,shadow-style,text-shadow
11,2,Which CSS property controls the appearance of a block element?,display,visibility,block-size,flex-direction,display
11,2,How do you center text inside a block element?,text-align:center;,align:center;,justify-content:center;,display:block;,text-align:center;
11,2,Which property is used to set the amount of space between the border and the edge of an element?,padding,margin,spacing,border-gap,padding
11,2,Which CSS property is used to control the space between the content and the edge of a table cell?,padding,cell-padding,border-spacing,cell-spacing,padding
11,2,What does the z-index property do in CSS?,Controls the stacking order of elements,Sets the opacity of elements,Controls the visibility of elements,Changes the size of elements,Controls the stacking order of elements
11,2,Which CSS property allows text to overflow into an ellipsis (...)? ,text-overflow:text-ellipsis;,text-overflow:ellipsis;,overflow:hidden;,overflow:auto;,text-overflow:ellipsis;
11,2,Which property controls whether an element's children appear in front or behind their parent?,z-index,display,position,float,z-index
11,2,What is the purpose of the :before pseudo-element in CSS?,It inserts content before an element.,It replaces an element with new content.,It adds a class to an element.,It hides an element.,It inserts content before an element.
11,2,Which property is used to create a grid layout in CSS?,display:grid;,grid-template-rows:grid;,layout:grid;,block-grid;,display:grid;
11,2,How do you change the color of a hyperlink when it is hovered over?,a:hover { color:red; },a:active { color:red; },a:link { color:red; },a:visited { color:red; },a:hover { color:red; }
11,2,Which property defines the space between flex items?,gap,flex-gap,grid-gap,spacing-gap,gap
11,2,Which CSS property controls the height of an element?,height,max-height,line-height,width,height
11,2,Which value of the position property keeps an element fixed in place, even when scrolling?,fixed,absolute,relative,static,fixed
11,2,What is the default value of the display property?,block,inline,flex,none,block
11,2,Which CSS property is used to create space between columns in a multi-column layout?,column-gap,column-padding,column-space,column-width,column-gap
11,2,Which property defines how a flex container's children will align along the cross axis?,align-items,justify-content,align-self,flex-wrap,align-items
11,2,What does the CSS rule display:none do?,Hides an element from view and removes it from the layout.,Makes an element invisible but keeps it in the layout.,Adds padding to the element.,Centers an element on the page.,Hides an element from view and removes it from the layout.
11,2,Which CSS property is used to define an element's opacity?,opacity,visibility,display,transparency,opacity
11,2,How do you create a border around a table in CSS?,border:1px solid black;,outline:1px solid black;,padding:1px solid black;,margin:1px solid black;,border:1px solid black;
11,2,Which value of the position property allows an element to move relative to its normal position?,relative,absolute,fixed,static,relative
11,2,What is the default value of the overflow property?,visible,hidden,scroll,auto,visible
11,2,Which property defines the alignment of items along the main axis in a flex container?,justify-content,align-content,align-items,align-self,justify-content
11,2,Which CSS property is used to set the background size?,background-size,background-position,background-repeat,background-clip,background-size
11,2,What does the CSS rule border-collapse:collapse do?,Merges adjacent table borders into a single border.,Creates space between borders.,Increases the border width.,Collapses the border into the table content.,Merges adjacent table borders into a single border.
11,2,How do you apply a shadow to text in CSS?,text-shadow:,font-shadow:,text-outline:,box-shadow:,text-shadow:
11,2,Which CSS property allows you to set an image as the background of an element?,background-image:,background-url:,background-position:,background-style:,background-image:
11,2,How do you prevent an element from being selected in CSS?,user-select:none;,select:none;,text-selection:none;,hover:none;,user-select:none;
11,2,Which property defines the space between words in a text?,word-spacing,line-spacing,letter-spacing,text-spacing,word-spacing
11,2,Which CSS property is used to change the style of list markers?,list-style-type:,list-marker:,list-decoration:,marker-style:,list-style-type:
11,2,Which property is used to set the layout of table rows and columns?,table-layout:,display:table;,grid-layout:,row-column:,table-layout:
11,2,How do you create a fixed width for an element in CSS?,width:300px;,height:300px;,min-width:300px;,max-width:300px;,width:300px;
11,2,Which property controls the order in which grid items are placed?,grid-template-areas:,grid-auto-flow:,grid-row-gap:,grid-column-start:,grid-auto-flow:
11,2,Which property controls how a background image is repeated?,background-repeat:,background-position:,background-size:,background-attachment:,background-repeat:
11,2,Which property sets the width of an element relative to its container?,width:100%,max-width:100%,min-width:100%,container-width:100%,width:100%
11,2,Which property is used to control the layout direction of flex items?,flex-direction:,align-items:,justify-content:,align-content:,flex-direction:
11,2,Which CSS property is used to control the visibility of an element?,visibility:,display:,opacity:,z-index:,visibility:
11,2,How do you specify the stacking order of elements?,z-index:,stack-order:,layer-order:,position-order:,z-index:
11,2,Which CSS property would you use to add space around images?,margin,padding,border-spacing,outline,margin
11,2,How do you apply a linear gradient as a background in CSS?,background:linear-gradient(color1, color2);,background-color:linear-gradient(color1, color2);,background-image:gradient-linear(color1, color2);,gradient:background(color1, color2);,background:linear-gradient(color1, color2);
11,2,Which CSS property defines the space inside the border of an element?,padding,border-spacing,margin,content-spacing,padding
11,2,What is the default display value of a <div> element?,block,inline,flex,none,block
11,2,Which property controls the appearance of table borders?,border-collapse:,border-width:,border-style:,table-border:,border-collapse:
11,2,Which value of the background-repeat property stops an image from repeating?,no-repeat,repeat-x,repeat-y,space,no-repeat
11,2,What is the default value of the flex-wrap property?,nowrap,wrap,wrap-reverse,none,nowrap
11,2,Which CSS property is used to control the overflow of text?,overflow:,text-overflow:,overflow-wrap:,text-wrap:,text-overflow:
11,2,Which CSS function is used to skew an element?,skew(),transform(),rotate(),translate(),skew()
11,2,How do you make an element transparent without hiding it?,opacity:0.5;,visibility:hidden;,display:none;,filter:transparent;,opacity:0.5;
11,2,Which CSS property is used to make text bold?,font-weight,bold-style,font-style,text-weight,font-weight
11,2,Which CSS property controls the line height of text?,line-height,font-size,line-spacing,text-spacing,line-height
11,2,Which value of the display property makes an element invisible but keeps it in the layout?,visibility:hidden;,display:none;,opacity:0;,z-index:-1;,visibility:hidden;
11,2,How do you prevent an element from floating?,clear:both;,float:none;,overflow:hidden;,display:block;,clear:both;
11,2,Which CSS property sets the distance between a flex container's items and its edges?,padding,margin,flex-gap,align-content,padding
11,2,What does the CSS property word-break do?,It specifies how words should break when reaching the end of a line.,It changes the word spacing.,It controls the hyphenation of words.,It controls the letter spacing.,It specifies how words should break when reaching the end of a line.
11,2,Which CSS property controls the size of the gap between grid columns?,column-gap:,grid-gap:,column-spacing:,grid-column:,column-gap:
11,2,What does the CSS property white-space control?,It specifies how white space inside an element is handled.,It changes the color of white space.,It removes the white space between elements.,It adds extra padding around the text.,It specifies how white space inside an element is handled.
11,2,Which CSS property is used to center content horizontally in a flex container?,justify-content:center;,align-items:center;,align-self:center;,align-content:center;,justify-content:center;
11,2,Which CSS property controls the flow of content in a multi-column layout?,column-fill,column-gap,column-span,column-direction,column-fill
11,2,Which CSS property would you use to set a background image that does not scroll with the page?,background-attachment:fixed;,background-scroll:none;,background-fixed:,background-repeat:none;,background-attachment:fixed;
11,2,Which CSS property controls the indentation of the first line of a block of text?,text-indent:,text-indentation:,margin-left:,padding-left:,text-indent:
11,2,How do you make a list display horizontally in CSS?,list-style: inline;,display: inline-block;,flex-direction: row;,display: inline;,display: inline-block;
11,2,Which CSS property defines the maximum height of an element?,max-height:,height:,max-size:,line-height:,max-height:
11,2,What is the purpose of the CSS calc() function?,To perform calculations on CSS property values,To calculate grid gaps automatically,To adjust font size based on screen resolution,To calculate margin and padding,To perform calculations on CSS property values
11,2,Which property defines the space between an element's border and its surrounding elements?,margin:,padding:,border-spacing:,border-width:,margin:
11,2,What is the use of the float property in CSS?,It allows elements to float to the left or right of their container.,It controls the position of background images.,It defines whether an element will be displayed inline or block.,It sets the height of an element.,It allows elements to float to the left or right of their container.
11,2,How do you apply styles to the first child of an element?,:first-child,p:first-child,element:first-child,:nth-child(1),:first-child
11,2,Which CSS property allows an element to stretch to fit its parent container?,width:100%,max-width:100%,min-width:100%,display:block,width:100%
11,2,What does the :focus pseudo-class in CSS do?,Applies styles when an element is focused,Applies styles when an element is clicked,Applies styles when an element is hovered,Applies styles when an element is selected,Applies styles when an element is focused
11,2,Which CSS property is used to define the space between the lines of text?,line-height,letter-spacing,text-spacing,word-spacing,line-height
11,2,What does the CSS float property control?,It controls whether an element should float to the left or right.,It controls whether an element is visible or hidden.,It controls the background size.,It controls the text color.,It controls whether an element should float to the left or right.
11,2,How do you make an element a flex container?,display:flex;,flex-container:,flex:1;,display:block;,display:flex;
11,2,Which CSS property is used to control the display of a table's borders?,border-collapse:,border-style:,border-width:,border-spacing:,border-collapse:
11,2,What does the letter-spacing property control?,The space between characters,The space between words,The space between lines of text,The space between paragraphs,The space between characters
11,2,How do you make text all uppercase in CSS?,text-transform:uppercase;,font-case:uppercase;,text-format:uppercase;,letter-case:uppercase;,text-transform:uppercase;
11,2,Which CSS property is used to change the cursor when hovering over an element?,cursor:,hover-cursor:,pointer-cursor:,mouse-pointer:,cursor:
11,2,How do you apply a radial gradient as a background in CSS?,background:radial-gradient(color1, color2);,background-color:radial-gradient(color1, color2);,background-image:radial-gradient(color1, color2);,gradient:radial-background(color1, color2);,background:radial-gradient(color1, color2);
11,2,Which CSS property is used to set the minimum height of an element?,min-height:,height:,max-height:,min-size:,min-height:
11,2,How do you apply a background image only once in CSS?,background-repeat:no-repeat;,background:no-repeat;,background-image:no-repeat;,image-repeat:none;,background-repeat:no-repeat;
11,2,Which CSS property controls how a background image is positioned?,background-position:,background-size:,background-clip:,background-repeat:,background-position:
11,2,What is the purpose of the overflow property in CSS?,It specifies what happens if content overflows an element's box.,It sets the maximum width of an element.,It controls how background images are displayed.,It adjusts the spacing between elements.,It specifies what happens if content overflows an element's box.
11,2,Which CSS property is used to underline text?,text-decoration:,text-transform:,font-style:,text-align:,text-decoration:
11,2,What is the purpose of the :nth-child() pseudo-class in CSS?,It applies styles to elements based on their position within a parent element.,It applies styles to the last child of an element.,It selects elements based on their class.,It applies styles to the first child of an element.,It applies styles to elements based on their position within a parent element.
11,2,Which CSS property is used to create space between the border of an element and its content?,padding:,margin:,border-spacing:,border-width:,padding:
11,2,What is the default value of the display property for a <div> element?,block:,inline:,inline-block:,flex:,block:
11,2,How can you center an element horizontally with CSS?,margin: auto;,text-align: center;,display: flex;,position: absolute;,margin: auto;
11,2,What is the purpose of the z-index property in CSS?,It controls the stacking order of elements.,It defines the size of an element.,It changes the font color.,It sets the visibility of an element.,It controls the stacking order of elements.
11,2,Which CSS property is used to change the font size of text?,font-size:,text-size:,font-weight:,text-style:,font-size:
11,2,How do you create a CSS transition effect?,transition: property duration;,animation: property duration;,effect: property duration;,transition-effect:;,transition: property duration;
11,2,Which property is used to control the visibility of an element?,display:,visibility:,opacity:,hidden:,visibility:
11,2,What does the `overflow: hidden;` property do?,It hides any content that overflows the element's box.,It shows all content.,It makes the content scrollable.,It adjusts the height of the element.,It hides any content that overflows the element's box.
11,2,How do you make an element responsive using CSS?,Use media queries;,Use fixed dimensions;,Use percentages for widths;,Use viewport units;,Use media queries;
11,2,Which property is used to create rounded corners in CSS?,border-radius:,corner-radius:,rounded-corners:,border-style:,border-radius:
11,2,What is the function of the `position: absolute;` property?,It positions an element relative to its nearest positioned ancestor.,It sets the element at a fixed position.,It positions the element at the top left corner.,It positions an element relative to the viewport.,It positions an element relative to its nearest positioned ancestor.
11,2,How do you hide an element in CSS without removing it from the document flow?,visibility: hidden;,display: none;,opacity: 0;,position: absolute;,visibility: hidden;
11,2,Which CSS property changes the color of text?,color:,text-color:,font-color:,text-style:,color:
11,2,How can you create a vertical navigation menu with CSS?,Use float:left;,Use display:inline-block;,Use flexbox;,Use grid;,Use flexbox;
11,2,What does the `display: flex;` property do?,It creates a flexible box layout for its children.,It makes elements inline.,It sets elements as block-level.,It centers the content.,It creates a flexible box layout for its children.
11,2,How do you style visited links differently from unvisited links?,Use the :visited pseudo-class;,Use the :active pseudo-class;,Use the :hover pseudo-class;,Use JavaScript;,Use the :visited pseudo-class;
11,2,What is the purpose of the `box-shadow` property in CSS?,It adds shadow effects around an element's box.,It defines the border of an element.,It sets the background color.,It adjusts the text size.,It adds shadow effects around an element's box.
11,2,Which property is used to set the background color of an element?,background-color:,color:,bg-color:,background:,background-color:
11,2,How do you create a CSS grid layout?,display: grid;,display: flex;,display: block;,display: inline-block;,display: grid;
11,2,What is the purpose of the `clear` property in CSS?,It specifies whether an element can be next to floating elements.,It defines the size of an element.,It sets the background color.,It controls visibility.,It specifies whether an element can be next to floating elements.
11,2,Which CSS property defines how the content of an element should overflow?,overflow:,display:,visibility:,position:,overflow:
11,2,How do you change the background color of an element when hovering over it?,element:hover { background-color: color; },element:focus { background-color: color; },element:active { background-color: color; },element:visited { background-color: color; },element:hover { background-color: color; };
